Festival Name,Start Date,End Date,2027 Dates (if applicable),Location,Type,Website,Organiser/Contact ,Contact email ,Contact Phone,Email sent?
4th Annual La Tamalada Fest,2/1/2026,,,"101 E Erie Ave, Philadelphia, PA 19134",Food & Drink,https://www.instagram.com/p/DTxu1EGEfBA/?igsh=MXJ1Z3pka3U2eng2cA%3D%3D,Cantina La Martina,cantina@cantinalamartinaphilly.com,,FALSE
The Tasties - Philadelphia Big Night in Food,2/1/2026,,,"LIVE casino, 900 Packer Ave, Philadelphia, PA 19148",Food & Drink,https://www.deliciouscitypodcast.com/the-tasties,Delicious City Philly Podcast ,thetastiesphilly@gmail.com,1-833-472-5483,FALSE
The African American Children's Book Fair,2/7/2026,,2/6/2027,"Pennsylvania Convention Center, 1101 Arch St, Philadelphia, PA 19107",Literary,https://theafricanamericanchildrensbookproject.org/,The African American Children’s Book Project,read@theafricanamericanchildrensbookproject.org,(215) 878-2665,FALSE
Chinatown Lunar New Year Festival,2/16/2026,3/7/2026,,"Various venues — central events near Philadelphia Chinatown Friendship Gate and community venues (Penn Museum, Franklin Square, etc.)",Cultural Heritage,https://chinatown-pcdc.org/news-and-events/events/2026-chinese-new-year-events/,Philadelphia Chinatown Development Corporation,info@chinatown-pcdc.org / hshang@chinatown-pcdc.org,215-922-6156,FALSE
Skippack Village Fire and Ice Festival,2/20/2026,2/21/2026,,"Skippack Pike & Village, Skippack, PA 19474",Street Fairs,https://skippackvillage.com/event/fire-and-ice-festival/,Skippack Business Owners Association,SkippackSBOA@gmail.com,,FALSE
Party for the Market,2/21/2026,,,"Reading Terminal Market, 1136 Arch Street, Philadelphia, PA 19107",Food & Drink,https://readingterminalmarket.org/event/party-for-the-market-2026/,CEO / General Manager: Annie Allman,info@readingterminalmarket.org / m-mooney@readingterminalmarket.org / m-deluca@readingterminalmarket.org / b-belo@readingterminalmarket.org,215-922-2317,FALSE
Philly Beer Fest: Winter,2/28/2026,,2/20/2027,"22 South 23rd Street, Philadelphia, PA 19103",Food & Drink,https://www.phillybeerfest.com/,"Philly Beer Fest, Inc.",tickets@crafthospitality.com,,FALSE
Liberty Flea at Cherry Street Pier,3/14/2026,3/15/2026,,"BOK, 1901 S 9th St, Philadelphia, PA 19148",Street Fairs,https://www.cherrystreetpier.com/event/2026/05/liberty-flea-market-2026/,Cherry Street Pier / DRWC,cherrystreetpier@drwc.org,215-923-0818,FALSE
Pie Picnic,3/14/2026,,3/14/2027,"Boathouse at FDR Park, 1500 Pattison Ave campus, Philadelphia, PA 19145",Food & Drink,https://www.instagram.com/piepicnic/,Philadelphia Pie Picnic,contact form on eventbrite or instagram DM,,FALSE
CultureFest! Holi,3/21/2026,,,"3260 South Street Philadelphia, PA 19104",Cultural Heritage,https://www.penn.museum/about/press-room/press-releases/penn-museum-celebrates-springs-arrival-with-culturefest-holi-the-festival-of-colors-march-21st,Penn Museum,events@pennmuseum.org,215-898-2680,FALSE
Glenside St. Patrick's Day Parade and Festival,3/21/2026,,,"Keswick Village, Glenside PA, 19038",Cultural Heritage,https://spd19038.com/2026-parade-1,Glenside St. Patrick's Day Parade Association,spd19038@gmail.com,,FALSE
The Chef Assembly,3/22/2026,3/23/2026,,"The Study at University City, 20 S 33rd St, Philadelphia, PA 19104",Food & Drink,https://thechefassembly.com/philly2026-agenda,Founder - Mike Traud,mike@thechefassembly.com,,FALSE
Philadelphia World Oddities Expo,3/28/2026,3/29/2026,4/3/2027 - 4/4/2027,"78 N 12th St , Philadelphia, PA 19107",Multi-Genre,https://worldodditiesexpo.com/philadelphia-pa/,World Oddities Expo,support@worldodditiesexpo.com ,,FALSE
Shofuso Cherry Blossom Fest,3/28/2026,3/29/2026,4/3/2027 - 4/4/2027,"Fairmount Park Horticulture Center, 100 N Horticultural Dr, Philadelphia, PA 19131",Cultural Heritage,https://japanphilly.org/programs/festivals/cbf-2026/,Japan America Society of Greater Philadelphia,info@japanphilly.org,(267) 237-3550,FALSE
Dine Latino Restaurant Week,4/5/2026,4/11/2026,,"Citywide at participating restaurants (e.g., Arepa Grub Spot, 1112 S 9th St, Philadelphia, PA 19147).",Food & Drink,https://www.visitphilly.com/things-to-do/events/dine-latino-restaurant-week/,Greater Philadelphia Hispanic Chamber of Commerce,bcisneros@philahispanicchamber.org / sponsorships@philahispanicchamber.org,(215) 845-5456,FALSE
South Street Easter Promenade,4/5/2026,,3/28/2027,"Procession starts at 5th & South St, ends Headhouse Plaza (2nd & Lombard St)",Seasonal,https://southstreet.com/events/93rd-annual-easter-promenade/,South Street Headhouse District (SSHD),info@southstreet.com,215-413-3713,FALSE
Temple Made Fest,4/5/2026,,,"Temple University 13th Street + Polett Walk, 1900 N. 13th St., Philadelphia, PA 19122",Street Fairs,https://alumni.temple.edu/s/705/bp24/interior.aspx?sid=705&gid=1&pgid=16587&cid=34179&ecid=34179&crid=0&calpgid=3955&calcid=14271&authkey=%5bAUTH_KEY_HERE_34180%5d,Temple University Alumni Association,alumni@temple.edu,,FALSE
Made in Philadelphia Spring Market,4/10/2026,4/12/2026,,"Dilworth Park, 1 S 15th St, Philadelphia, PA 19102",Street Fairs,https://www.madeinphila.com/,Made in Philadelphia,info@madeinphila.com,,FALSE
Philly Otaku Fest,4/10/2026,4/12/2026,,"Cherry Street Pier, 121 N Columbus Blvd, Philadelphia, PA 19106",Multi-Genre,https://www.cherrystreetpier.com/event/2026/03/philly-otaku-fest-4-0-at-cherry-street-pier/,Philly Otaku,DM on instagram,,FALSE
5th Annual PowWow of Arts and Culture,4/11/2026,,,"Delaware Art Museum, 2301 Kentmere Parkway
Wilmington, DE 19806",Street Fairs,https://delart.org/event/5th-annual-powwow-of-arts-and-culture/,Delaware Art Museum,info@delart.org,302-571-9590,FALSE
Elkins Park Spring Festival,4/11/2026,,,"7903 High School Rd, Elkins Park PA 19027",Street Fairs,https://www.facebook.com/events/7903-high-school-rd-elkins-park-pa-19027-2623-united-states-cheltenham-pa/elkins-park-spring-festival/25769455706013483/,Elkins Nutrition,elkinsnutrition@gmail.com,(267) 357-5224,FALSE
KPop Flea Market,4/11/2026,,,"401 Lombard Street, Philadelphia, PA 19147",Street Fairs,https://www.instagram.com/p/DU3_5RzEgpu/,Philly Pri,DM on instagram,,FALSE
Philly Cocktail Fest,4/11/2026,,4/10/2027,"23rd Street Armory, 22 S 23rd St, Philadelphia, PA 19103",Food & Drink,https://www.phillycocktailfest.com/,Philly Cocktail Fest,tickets@crafthospitality.com,,FALSE
Rex Manning Day Block Party,4/11/2026,,,"South Street Art Mart, 540 South 4th Street, Philadelphia, PA",Block Parties,https://southstreet.com/events/rex-manning-day/,South Street Art Mart,SouthStreetArtMart@gmail.com ,,FALSE
Point Breeze Market Festival,4/16/2026,,,"1300 Block of Point Breeze Ave, Philadelphia, PA 19145",Street Fairs,https://www.instagram.com/p/DWy4LnBDijS/,Philadelphia250 (Philadelphia Visitor Center Corporation),questions@phlvisitorcenter.com,(800) 537-7676,FALSE
Philadelphia Film Society Spring Fest,4/17/2026,4/23/2026,,"Film Society East, 125 S 2nd St, Philadelphia, PA 19106",Film ,https://filmadelphia.org/springfest/,Philadelphia Film Society (PFS),customerservice@filmadelphia.org,267-239-2941,FALSE
Punk Rock Flea Market,4/17/2026,4/19/2026,,"23rd St Armory, 22 S 23rd St, Philadelphia, PA 19103",Street Fairs,https://www.phillyprfm.com/#home-section,The Captain's Vintage (https://thecaptainsvintage.com/),DM on instagram,,FALSE
Bartram's Garden Spring Fest,4/18/2026,,,"5400 Lindbergh Blvd, Philadelphia, PA, 19143",Seasonal,https://www.bartramsgarden.org/event/spring-fest26/,Bartram’s Garden,info@bartramsgarden.org,(215) 729-5281,FALSE
Elfreth's Alley Spring Makers' Market,4/18/2026,,,"Elfreth's Alley, Philadelphia, PA 19106",Street Fairs,https://www.elfrethsalley.org/,Elfreth’s Alley Museum,contact form,(267) 457-4159,FALSE
Franklin Square 20th Anniversary Festival,4/18/2026,,,"Franklin Square, 200 N 6th St, Philadelphia, PA 19106",Street Fairs,https://historicphiladelphia.org/events/franklin-square-20th-birthday-celebration/?fbclid=IwY2xjawTQl7pwZG9mAWV4dG4DYWVtAjEwAHNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR7WzKeyWGU7s4fTl11GPS0IYHf4AC95vpuhEOsC0j71Dp-jtruPVu5cdRn3Ug_aem_dzwCHMvn9M7AOp_ONpO4BA,Historic Philadelphia,info@historicphiladelphia.org,(215) 629-4026,FALSE
Khmer New Year Celebration,4/18/2026,4/19/2026,,"Wat Khmer Pelai, 2701 S 58th St, Philadelphia, PA 19143 and Preah Buddha Ramsey Temple, 1234 Haddonfield-Berlin Rd, Voorhees Township, NJ 08043",Cultural Heritage,https://www.instagram.com/p/DWjUSolkeag/,Cambodian Association of Greater Philadelphia,cagp@cagp.org,(215) 324-4070,FALSE
Panda Fest (Dilworth Park),4/18/2026,,,"1 S 15th St, Philadelphia, PA 19102",Food & Drink,https://www.pandafests.com/events-1/project-one-ephnc-fphyr-ark8l-wfdxg-g558l-tjkap-ap5a4-y5jrj-666na,Panda Fest,Customer@pandafests.com,,FALSE
R&B And Chill Spring Festival,4/18/2026,,,"Burlington County Fairgrounds, 1794 Jacksonville-Jobstown Rd, Columbus, NJ 08022",Music,https://www.facebook.com/rnbnchill,R&B and Chill,rnbandchillbusiness@gmail.com,,FALSE
Earth Day is Goat Day,4/19/2026,,,"Awbury Arboretum, 6336 Ardleigh St., Phialdelphia, PA, 19138",Seasonal,https://www.phillygoatproject.org/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAcGRvZgJleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA85MzY2MTk3NDMzOTI0NTkAAacYdv8I-xHdig9-wt8P0nTrCQU5fs5r0mxBKdnfec2PkJ3jaO4FZh6SBkl-sg_aem_CPFtsYurhkmWIpo6SEVx2g,Philly Goat Project,info@phillygoatproject.org,,FALSE
Manayunk StrEAT Food Festival,4/19/2026,,,"Main Street, Manayunk, Philadelphia, PA 19127",Food & Drink,https://manayunk.com/mnyk-events/manayunk-streat-food-festival/,Manayunk Development Corporation,info@manayunk.org,215-482-9565,FALSE
Not a Bad Life DIY Tote Therapy,4/19/2026,,,"Plant and People, 3952 Lancaster Ave, Philadelphia, PA, 19104",Arts & Crafts,https://www.instagram.com/p/DW4B4vYDj_s/?img_index=3,Not a Bad Life,notabadlifee@gmail.com,,FALSE
Philly Maker Faire,4/19/2026,,,"Cherry Street Pier, 121 N. Columbus Blvd, Philadelphia, PA 19106",Arts & Crafts,https://philly.makerfaire.com/,Philadelphia Maker Faire,info@phillymakerfaire.com,,FALSE
One Art Annual 420,4/20/2026,,,"1431-39 N 52nd St Philadelphia, PA 19131",Multi-Genre,https://www.oneart.love/event-details/one-arts-annual-420,One Art Community Center,info@oneartcommunitycenter.com,,FALSE
Earth Day at Container Village,4/22/2026,,,"4682 Parkside Ave, Philadelphia, PA 19104",Seasonal,https://www.instagram.com/reels/DWuXj8XCj-A/,4th Distrct Container Village,,215-883-0109,FALSE
West Philly Earth Walk,4/22/2026,,,Various spots across West Philadelphia,Multi-Genre,https://www.instagram.com/p/DXUhqdrkeas/,Poetry 215 and James Marshall Kavanaugh (dreampoetforhire),Use contact form at https://poetry215.com/ ,,FALSE
Dining Out for Life Philadelphia,4/23/2026,,,Various (Fundraiser),Food & Drink,https://www.diningoutforlife.com/city/philadelphia-delaware-valley/,Action Wellness,kveurnick@actionwellness.org,215-981-3352,FALSE
Penn Relays,4/23/2026,4/25/2026,4/22/2027 - 2/24/2027,"Franklin Field, 235 S 33rd St, Philadelphia, PA 19104",Seasonal,https://pennrelays.com/,Penn Relays / UPenn Athletics,pennrelays@upenn.edu,215-898-6145,FALSE
Philadelphia Black Pride Parade,4/23/2026,4/26/2026,,"Various, mostly on Broad St.",Multi-Genre,https://www.phillyblackpride.org/,Philadelphia Black Pride Organization,info@phillyblackpride.org,215-764-7630,FALSE
Philly Theatre Week,4/23/2026,5/3/2026,,Various locations,Dance & Theater,https://theatrephiladelphia.org/whats-on-stage/2026-philly-theatre-week,Theatre Philadelphia,info@theatrephiladelphia.org,267-761-9950,FALSE
Germantown Jazz Festival,4/24/2026,4/26/2026,,"Multiple Germantown sites (e.g., Germantown Settlement Music School, Attic Brewery and First United Methodist Church, Nile Cafe.)",Music,https://germantownjazzfestival.com/,"THE COMMUNITY EDUCATION AND ACTION PROJECT, INC. (C.E.A.P., INC.)",support@germantownjazzfestival.com,267-607-4498,FALSE
Merchants of Swarthmore Night Market,4/24/2026,,,"Park Avenue, Swarthmore, PA 19081",Street Fairs,https://swarthmoretowncenter.com/calendar-of-events/jhtrrly5ctpxzzsr79dcw2a9awjdmk,Merchants of Swarthmore and Swarthmore Town Center,info@swarthmoretowncenter.com,,FALSE
Downtown Glenside Arts Festival,4/25/2026,,,"Easton Rd, Glenside, PA 19038",Arts & Crafts,https://downtownglenside.com/events,Downton Glenside Foundation,dgcp19038@gmail.com,,FALSE
Drexel University Vintage and Antique Flea Market,4/25/2026,,,"3400 Lancaster Ave, Philadelphia, PA, 19104",Street Fairs,https://philafleamarkets.org/calendar/,Philadelphia Flea Markets,PhilaFleaMarkets@aol.com,215-625-3532,FALSE
Linvilla Orchards Spring Foodtruck Frenzy,4/25/2026,4/26/2026,,"137 W Knowlton Rd, Media, PA 19063",Seasonal,https://www.linvilla.com/family-fun/food-truck-frenzy,Linvilla Orchards,info@linvilla.com,610-876-7116,FALSE
Philadelphia Zoo Festival of Colors (Holi),4/25/2026,,,"Philadelphia Zoo, 3400 W Girard Ave, Philadelphia, PA 19104",Cultural Heritage,https://www.philadelphiazoo.org/events/festival-of-colors/,Philadelphia Zoo,guestrelations@phillyzoo.org,(215) 243-1100,FALSE
PopUpPlay Lantern Parade,4/25/2026,,,"Cherry Street Pier, 121 N Columbus Blvd, Philadelphia, PA 19106",Family & Kids,https://www.cherrystreetpier.com/event/2026/03/popupplay-lantern-festival-at-cherry-street-pier/,PopUpPlay,info@popupplay.net,,FALSE
Reading is Freedom Festival,4/25/2026,,,"Historic Fair Hill, 2309 Germantown Avenue, Philadelphia, PA 19133",Family & Kids,https://historicfairhill.com/events/,Historic Fair Hill,info@historicfairhill.com,215-844-1683,FALSE
Spring Garden Festival,4/25/2026,,,"3509 Spring Garden St., Philadelphia, PA, 19104",Seasonal,https://www.instagram.com/p/DXR2oKekiKF/,Drexel University Dornsife Center,DM on instagram,,FALSE
Springfest Block Party,4/25/2026,,,"Lost Time Brewing Company 2145 N Front Street, Philadelphia, PA 19122",Block Parties,https://www.instagram.com/p/DXNZi87j8gW/,Lost Time Brewing Company,info@losttimebrewco.com,,FALSE
West Craft Fest (The Woodlands),4/25/2026,,,"Woodlands, 4000 Woodland Ave, Philadelphia, PA 19104",Arts & Crafts,https://www.woodlandsphila.org/events-calendar/2026/west-craft-fest,West Craft Fest / VIX Emporium,info@woodlandsphila.org,215) 386-2181,FALSE
Clover Market Philadelphia,4/26/2026,,,"Along W. Highland Ave & the 25 W Highland Ave lot (Turquoise Lot), Philadelphia, PA 19118",Street Fairs,https://theclovermarket.com/,Clover Market (Founder: Janet Gardner Long),helloclovermarket@gmail.com,610-308-5249,FALSE
Fairmount Arts Crawl,4/26/2026,,,"Centered at 23rd & Fairmount Ave with activities along Fairmount Ave; flagship site 2333 Fairmount Ave, Philadelphia, PA 19130",Arts & Crafts,https://www.parktobroad.org/artscrawl,Patrick Sherlock,mail@parktobroad.org,215-232-4766,FALSE
Flavors on the Avenue East Passyunk,4/26/2026,,,"Dickinson St; EPABID HQ 1904 E Passyunk Ave, Philadelphia, PA 19147",Food & Drink,https://www.visiteastpassyunk.com/,East Passyunk Business Improvement District,kscopephilly@gmail.com,215 336-1455,FALSE
Heartful Craft Day,4/26/2026,,,"Elixr Coffee, 315 N 12th Street, Philadelphia, PA 19107",Arts & Crafts,https://www.eventbrite.com/e/heartful-craft-day-philadelphia-0426-tickets-1986488893756?aff=oddtdtcreator&utm_source=ig&utm_medium=social&utm_content=link_in_bio,@nabithoughts ,DM on instagram,,FALSE
Scouting for Stars (KOP Mall),4/26/2026,,,"160 N Gulph Rd, King of Prussia, PA 19406",Multi-Genre,https://scoutingforstarsatthemall.splashthat.com/,Scouting For Stars / KOP Mall,,(610) 265-5794,FALSE
Princeton Near Eastern Studies Festival,4/30/2026,,,"Frist Campus Center, Frist Ln, Princeton, NJ 08544",Cultural Heritage,https://www.instagram.com/p/DWRhYgmjkXA/,Princeton Near Eastern Studies Department and Al-Bustan Seeds of Culture,info@albustanseeds.org / nes@princeton.edu,267-809-3668 (Al-Bustan),FALSE
Cinema in the Cemetery,5/1/2026,,,"Laurel Hill Cemetery, 3822 Ridge Avenue, Philadelphia, PA",Film,https://laurelhillphl.com/events/annual-events/cinema/,Friends of Laurel Hill,info@laurelhillphl.com / programs@laurelhillphl.com,,FALSE
Eraserhood Fest,5/1/2026,,,"Eraserhood and Callowhill Neighborhood, Philadelphia, PA, 19123 / The Rail Park 1300 Noble Street, 1150 Callowhill St, Philadelphia, PA 19123",Block Parties,https://eraserhoodfest.org,Various (see website),info@eraserhoodfest.org,,FALSE
Hand Circus Scrap Night,5/1/2026,,,"Thunderbird Hall, 2856 Frankford Avenue, Philadelphia, PA, 19134",Multi-Genre,https://www.facebook.com/people/2nd-Hand-Circus/61575146702443/,2nd Hand Circus,DM on facebook,,FALSE
PCDC Chinatown 60th Anniversary Celebration,5/1/2026,,,"102 North 10th St, Phialdelphia, PA 19107",Cultural Heritage,https://chinatown-pcdc.org/60th-anniversary-celebration/,Philadelphia Chinatown Development Corporation (PCDC),info@chinatown-pcdc.org,215-922-6156,FALSE
Sing Us Home Festival,5/1/2026,5/3/2026,,"Venice Island Performing Arts & Recreation Center grounds, 7 Lock St, Philadelphia, PA 19127",Music,https://singushomefestival.com,Rising Sun Presents,info@risingsunpresents.com / hausehq@gmail.com,,FALSE
Borski Bash,5/2/2026,,,"3150 Orthodox St., Philadelphia, PA, 19137",Block Parties,https://www.eventbrite.com/e/borski-bash-welcome-back-to-the-park-tickets-1983041899704?aff=oddtdtcreator,State Street Events,Melissa@StateStreetEvents.org,267-694-6301,FALSE
Broad Street Health Run and Wellness Expo,5/2/2026,,,"Pennsylvania Convention Center, Hall F, 1101 Arch St, Philadelphia, PA 19107",Multi-Genre,https://www.broadstreetrun.com/health-and-wellness-expo/,Broad St Run,expodirector@broadstreetrun.com / info@broadstreetrun.com,,FALSE
Eastern State Penitentiary Flea Market,5/2/2026,,,"2201 Fairmount Ave, Philadelphia, PA 19130, United States",Street Fairs,https://www.facebook.com/events/2201-fairmount-ave-philadelphia-pa-19130-united-states/eastern-state-penitentiary-fairmount-vintage-antique-flea-market-on-sat-5226/2061119897789048/,Phila Flea Markets,philafleamarkets@aol.com,(215) 625-3532,FALSE
Fishtown Music & Arts Festival,5/2/2026,,,"Christ Church Burial Ground, 340 N 5th St, Philadelphia, PA 19106",Music,https://www.facebook.com/fishtownmusicarts/,Fishtown Music and Arts,fishtownmusicandarts@gmail.com,,FALSE
Maifest at Brauhaus Schmitz,5/2/2026,,,"Brauhaus Schmitz, 718 South St, Philadelphia, PA 19147",Cultural Heritage,https://brauhausschmitz.com/events/,Brauhaus Schmitz,brauhausschmitz@gmail.com,267-909-8814,FALSE
Peddler's Village Strawberry Festival,5/2/2026,5/3/2026,,"Peddler’s Village, 100 Peddlers Village (Routes 202 & 263), Lahaska, PA 18931",Seasonal,https://peddlersvillage.com/event/strawberry-festival-2,Peddlers Village,festivals@peddlersvillage.com / info@peddlersvillage.com,215-794-4000,FALSE
Philadelphia VinylCon,5/2/2026,5/3/2026,,"23rd St Armory, 22 S 23rd St, Philadelphia, PA 19103",Music,https://www.thevinylcon.com/,VinylCon,info@thevinylcon.com,,FALSE
Queen and Rook Renn Faire,5/2/2026,,,"Queen and Rook Game Cafe, 123 South St, Philadelphia, PA 19147",Multi-Genre,https://www.queenandrookcafe.com/events/,Queen and Rook Game Cafe,info@queenandrookcafe.com,,FALSE
Rittenhouse Row Spring Festival,5/2/2026,,,"Rittenhouse Square and Rittenhouse Row, 1800 Walnut St, Philadelphia, PA 19103",Street Fairs,https://www.rittenhouserow.org/events-1,"Corie Moskow, Executive Director, Rittenhouse Row",coriemoskow@glosspr.com,215.518.5526,FALSE
Sayre Health Center 20th Anniversary Community Fair,5/2/2026,,,"227 S 59th St, Philadelphia, PA, 19139",Street Fairs,https://www.instagram.com/p/DXR9cCImtRv/,Sayre Health Center,,(215) 474-4444 ,FALSE
South Street Springfest,5/2/2026,,,100-700 Block of South Street + South Street & East Passyunk Avenue + Headhouse Plaza,Street Fairs,https://southstreet.com/events/south-street-spring-fest-2026/,South Street Headhouse District,info@southstreet.com,(215) 413-3713,FALSE
Spring on King Jazz Fest,5/2/2026,,,"King St. and Burke Park, Malvern, PA",Music,https://www.malvernbusiness.com/springonking,Malvern Business & Professional Association,mbpacontact@gmail.com,,FALSE
Wild Horizon Circus & Play Festival,5/2/2026,5/3/2026,,"Cherry Street Pier, 121 N. Columbus Blvd, Philadelphia, PA 19106",Dance & Theater,https://www.instagram.com/p/DW1mAx5ADtm/,Almanac Projects and Delaware River Waterfront Corporation,admin@thealmanac.us,,FALSE
Broad Street Run,5/3/2026,,,Start: Broad St & Somerville Ave (Central High School field). Finish: Navy Yard,Seasonal,https://www.broadstreetrun.com,Broad St Run,info@broadstreetrun.com,,FALSE
Chestnut Hill Home and Garden Festival,5/3/2026,,,"Germantown Ave from Rex Ave to Willow Grove Ave, Philadelphia, PA 19118",Street Fairs,https://chestnuthillpa.com/home-garden-festival/,Chestnut Hill Business District / Chestnut Hill,koneill@chestnuthillpa.com,215-247-6696,FALSE
From Our Hands Food Festival,5/3/2026,,,"Fleisher Art Memorial, 719 Catherine Street, Philadelphia, PA, 19147",Cultural Heritage,https://www.instagram.com/p/DW6tBQBjrXP/,Asian Food Collective and Roots2Table Philadelphia,fromourhandsfest@gmail.com,,FALSE
Mirrorball Marketplace,5/3/2026,,,"Franky Bradley's, 1320 Chancellor St, Philadelphia, PA 19107",Street Fairs,https://ma.to/event/the-mirrorball-market-03-may-2026,Franky Bradley's,contact@frankybradleys.com,215-735-0735,FALSE
Philadelphia Children's Festival,5/3/2026,5/5/2026,,"Penn Live Arts (Annenberg Center), 3680 Walnut St, Philadelphia, PA 19104",Family & Kids,https://pennlivearts.org/events/childfest.php?utm,Penn Live Arts (Annenberg Center),feedback@pennartslive.org,215-898-3900,FALSE
South Street Live,5/3/2026,,,"South Street Headhouse :407 South St, Philadelphia, PA 19147",Street Fairs,https://southstreet.com/events/south-street-live,South Street Headhouse District,info@southstreet.com,(215) 413-3713,FALSE
Cinco de Mayo Block Party,5/4/2026,,,"2013 Chestnut St / Ranstead St, Philadelphia, PA 19103",Block Parties,https://www.instagram.com/p/C6JxXQ5L21A/?hl=en,South Street Headhouse District,info@southstreet.com,,FALSE
Philly Tech Week,5/4/2026,5/8/2026,,"Citywide. Anchor events include Technical.ly Developers Conference at Comcast Technology Center, 1800 Arch St, Philadelphia, PA 19103; PTW Tech Walk on Arch St, 19102.",Multi-Genre,https://phillytechweek.com,Philly Tech Week,Phillytechweek@1phl.org,,FALSE
Mt. Airy Day,5/6/2026,,,"6400 Block of Germantown Avenue, Philadelphia, PA",Street Fairs,https://www.mtairyday.org/,Mt Airy CDC,mtairday@gmail.com,,FALSE
South Street Record Riot,5/6/2026,,,"Repo Records, 506 South St, Philadelphia, PA, 19147",Music,https://www.reporecords.com/upcoming-events,Repo Records,repo@reporecords.com, 215-627-3775,FALSE
Made @ Bok Night Market,5/8/2026,,,"BOK, 1901 S 9th St, Philadelphia, PA 19148",Arts & Crafts,https://www.buildingbok.com/,BOK,hello@buildingbok.com,,FALSE
